HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
2018,87.8572844,32.1246925,---,3500,0,0.0,0.0,0.189,0.04,7.233,0.013,6.346,0.015,5.775,0.018,7.6306,6.4548,5.5839,5.4219,3.254
2974,115.2191538,-31.6611659,---,4294,32,1.62,0.342,-1.579,0.164,7.221,0.011,6.695,0.008,6.33,0.008,7.4791,6.7546,6.1982,5.866,0.244
8374,328.8358137,61.5418105,---,3943,30,0.178,0.09,-0.792,0.193,7.022,0.013,6.266,0.01,5.746,0.009,7.3728,6.368,5.5712,5.3848,1.0683
2453,100.337072,28.1966402,---,4702,43,1.863,0.698,-0.235,0.267,6.97,0.011,6.501,0.01,6.182,0.01,7.2289,6.5519,6.0735,5.6963,1.5068
1908,84.2682589,11.0350081,---,3596,194,1.5,0.447,-2.268,2.166,6.852,0.043,6.059,0.03,5.464,0.015,7.187,6.1886,5.264,5.1196,3.2607
7795,305.5127318,41.132136,---,4613,43,1.922,0.653,-0.52,0.243,6.924,0.015,6.459,0.012,6.142,0.011,7.1757,6.5102,6.031,5.6512,1.5651
5659,228.1811699,19.2860393,---,5625,37,4.637,0.53,0.035,0.063,6.969,0.012,6.694,0.011,6.505,0.01,7.145,6.7243,6.4409,5.8982,30.8032
1270,62.3648798,59.9080705,---,4518,34,2.055,0.799,-0.328,0.47,6.875,0.014,6.379,0.008,6.032,0.009,7.1423,6.4373,5.9133,5.5628,2.6409
7542,297.1271432,10.6940962,---,4934,23,0.113,0.176,-1.332,0.174,6.92,0.012,6.506,0.011,6.222,0.01,7.133,6.5475,6.1205,5.6969,1.2802
8086,316.7302664,38.7420564,---,3740,21,3.703,1.023,-1.0,0.033,6.794,0.017,6.142,0.013,5.595,0.01,7.0821,6.2746,5.4176,5.2143,286.0054
8692,342.5420568,50.6769182,---,4539,41,2.03,0.669,-0.35,0.326,6.794,0.014,6.304,0.013,5.963,0.014,7.0582,6.3608,5.8462,5.4898,1.9489
2067,89.0143041,13.9249155,---,5793,29,4.341,0.394,-0.011,0.078,6.892,0.014,6.644,0.01,6.479,0.01,7.0509,6.6695,6.4231,5.8485,36.4474
2392,98.1953064,-11.1663822,---,4858,44,2.226,0.316,0.132,0.095,6.788,0.012,6.338,0.01,6.028,0.01,7.0435,6.3878,5.9251,5.5359,5.0237
300,15.8237254,-29.5258469,---,4853,30,3.275,0.37,-0.422,0.122,6.815,0.009,6.42,0.01,6.141,0.009,7.0366,6.4651,6.0433,5.6131,7.9976
8126,318.5428513,29.9009606,---,4607,33,1.898,0.481,-0.282,0.173,6.741,0.014,6.258,0.011,5.927,0.011,7.0041,6.3126,5.8138,5.4491,2.0341
7847,307.7467906,36.9358389,---,4295,17,2.596,0.371,-2.0,0.158,6.752,0.011,6.265,0.01,5.917,0.011,6.9883,6.3217,5.7889,5.4339,0.769
6538,263.0041345,34.2711475,---,6026,65,4.447,0.265,0.388,0.135,6.803,0.01,6.573,0.008,6.417,0.008,6.963,6.5986,6.3671,5.7786,41.318
648,33.2637683,15.2798611,---,3686,37,0.904,0.101,-0.75,0.368,6.613,0.02,5.839,0.012,5.265,0.011,6.9604,5.9686,5.0797,4.9183,5.5659
72,4.6744486,-8.0530014,---,5790,29,3.972,0.217,0.26,0.087,6.789,0.009,6.53,0.007,6.354,0.008,6.9592,6.5572,6.2959,5.7357,42.7308
5734,231.1286128,37.3472994,---,6061,46,4.287,0.203,0.235,0.071,6.806,0.013,6.59,0.011,6.446,0.011,6.9549,6.6123,6.3996,5.7937,27.73
4550,178.2448722,37.7186761,---,5211,19,5.0,0.0,-1.165,0.074,6.779,0.009,6.464,0.008,6.245,0.007,6.9535,6.4971,6.1655,5.6593,109.0296
690,35.9656013,55.3648618,---,4971,14,0.0,0.0,-1.78,0.185,6.744,0.014,6.353,0.014,6.079,0.012,6.9398,6.3922,5.9795,5.5391,0.9318
5143,205.0649081,31.0120357,---,4898,53,2.86,0.411,-0.14,0.17,6.7,0.017,6.291,0.016,6.006,0.015,6.9328,6.3366,5.9091,5.4883,7.037
4098,157.0161755,48.7849043,---,5916,27,4.312,0.376,-0.144,0.082,6.771,0.011,6.547,0.009,6.399,0.009,6.9145,6.5691,6.3496,5.7488,43.65
7008,279.9036541,5.2642893,---,5202,27,0.39,0.142,-1.107,0.24,6.718,0.011,6.392,0.01,6.169,0.009,6.899,6.4239,6.088,5.5896,1.8604
5423,217.4033713,41.7959137,---,5707,49,4.288,0.412,0.288,0.095,6.707,0.012,6.433,0.011,6.242,0.01,6.8863,6.4627,6.18,5.6379,42.7526
